"year","month","tis99","tia30","tia10","til30","til10","ts","time"
1500,1,-2,-2,-2,-2,-2,1500.04,"1500-1-15 00:00:00"
1500,2,-1,-1,-1,-1,-1,1500.12,"1500-2-15 00:00:00"
1500,3,-1,-1,-1,-1,-1,1500.21,"1500-3-15 00:00:00"
1500,4,0,0,0,0,0,1500.29,"1500-4-15 00:00:00"
1500,5,-1,-1,-1,-1,-1,1500.38,"1500-5-15 00:00:00"
1500,6,1,1,1,1,1,1500.46,"1500-6-15 00:00:00"
1500,7,1,1,1,1,1,1500.54,"1500-7-15 00:00:00"
1500,8,-1,-1,-1,-1,-1,1500.62,"1500-8-15 00:00:00"
1500,9,0,0,0,0,0,1500.71,"1500-9-15 00:00:00"
1500,10,0,0,0,0,0,1500.79,"1500-10-15 00:00:00"
1500,11,-3,-3,-3,-3,-3,1500.88,"1500-11-15 00:00:00"
1500,12,-2,-2,-2,-2,-2,1500.96,"1500-12-15 00:00:00"
1501,1,1,1,1,1,1,1501.04,"1501-1-15 00:00:00"
1501,2,1,1,1,1,1,1501.12,"1501-2-15 00:00:00"
1501,3,0,0,0,0,0,1501.21,"1501-3-15 00:00:00"
1501,4,0,0,0,0,0,1501.29,"1501-4-15 00:00:00"
1501,5,1,1,1,1,1,1501.38,"1501-5-15 00:00:00"
1501,6,0,0,0,0,0,1501.46,"1501-6-15 00:00:00"
1501,7,-1,-1,-1,-1,-1,1501.54,"1501-7-15 00:00:00"
1501,8,-2,-2,-2,-2,-2,1501.62,"1501-8-15 00:00:00"
1501,9,0,0,0,0,0,1501.71,"1501-9-15 00:00:00"
1501,10,-1,-1,-1,-1,-1,1501.79,"1501-10-15 00:00:00"
1501,11,-1,-1,-1,-1,-1,1501.88,"1501-11-15 00:00:00"
1501,12,0,0,0,0,0,1501.96,"1501-12-15 00:00:00"
1502,1,-2,-2,-2,-2,-2,1502.04,"1502-1-15 00:00:00"
1502,2,-2,-2,-2,-2,-2,1502.12,"1502-2-15 00:00:00"
1502,3,-1,-1,-1,-1,-1,1502.21,"1502-3-15 00:00:00"
1502,4,0,0,0,0,0,1502.29,"1502-4-15 00:00:00"
1502,5,-3,-3,-3,-3,-3,1502.38,"1502-5-15 00:00:00"
1502,6,2,2,2,2,2,1502.46,"1502-6-15 00:00:00"
1502,7,0,0,0,0,0,1502.54,"1502-7-15 00:00:00"
1502,8,3,3,3,3,3,1502.62,"1502-8-15 00:00:00"
1502,9,0,0,0,0,0,1502.71,"1502-9-15 00:00:00"
1502,10,0,0,0,0,0,1502.79,"1502-10-15 00:00:00"
1502,11,0,0,0,0,0,1502.88,"1502-11-15 00:00:00"
1502,12,0,0,0,0,0,1502.96,"1502-12-15 00:00:00"
1503,1,-2,-2,-2,-2,-2,1503.04,"1503-1-15 00:00:00"
1503,2,-2,-2,-2,-2,-2,1503.12,"1503-2-15 00:00:00"
1503,3,-2,-2,-2,-2,-2,1503.21,"1503-3-15 00:00:00"
1503,4,0,0,0,0,0,1503.29,"1503-4-15 00:00:00"
1503,5,1,1,1,1,1,1503.38,"1503-5-15 00:00:00"
1503,6,2,2,2,2,2,1503.46,"1503-6-15 00:00:00"
1503,7,3,3,3,3,3,1503.54,"1503-7-15 00:00:00"
1503,8,3,3,3,3,3,1503.62,"1503-8-15 00:00:00"
1503,9,0,0,0,0,0,1503.71,"1503-9-15 00:00:00"
1503,10,0,0,0,0,0,1503.79,"1503-10-15 00:00:00"
1503,11,0,0,0,0,0,1503.88,"1503-11-15 00:00:00"
1503,12,0,0,0,0,0,1503.96,"1503-12-15 00:00:00"
1504,1,-1,-1,-1,-1,-1,1504.04,"1504-1-15 00:00:00"
1504,2,-1,-1,-1,-1,-1,1504.12,"1504-2-15 00:00:00"
